messages,intent
Enable spoken replies.,Whisper on
Can you answer using sound?,Whisper on
Use your voice to answer me.,Whisper on
Can you stop speaking?,Whisper off
Disable voice responses.,Whisper off
Turn off voice replies.,Whisper off
Can you reply with text?,Whisper off
Deactivate audio responses.,Whisper off
Use text to answer me.,Whisper off
I want text responses.,Whisper off
Stop voice responses.,Whisper off
Talk to me using text.,Whisper off
Turn on text replies instead.,Whisper off
Can you respond by typing?,Whisper off
Switch to text mode.,Whisper off
Use text for responses.,Whisper off
Can you answer without sound?,Whisper off
Turn off audio replies.,Whisper off
Disable speaking mode.,Whisper off
I prefer text replies.,Whisper off
Respond to me by typing.,Whisper off
Deactivate your voice for replies.,Whisper off
Type back to me.,Whisper off
Turn off verbal responses.,Whisper off
Can you reply with text instead?,Whisper off
Use text to talk to me.,Whisper off
Switch off voice responses.,Whisper off
I want you to type to me.,Whisper off
Turn off voice mode and type.,Whisper off
Disable your voice for answers.,Whisper off
Can you text me your responses?,Whisper off
Use text instead of voice.,Whisper off
Can you type your replies?,Whisper off
Switch to typing mode.,Whisper off
Answer me with text.,Whisper off
Turn off your voice for replies.,Whisper off
Disable verbal mode.,Whisper off
Can you give text responses?,Whisper off
Use text replies for me.,Whisper off
I want to read your replies.,Whisper off
Deactivate voice replies.,Whisper off
Can you type back to me?,Whisper off
Turn off speaking and type.,Whisper off
Disable audio answers.,Whisper off
Use text for replies.,Whisper off
Can you use text to reply?,Whisper off
Talk to me with text.,Whisper off
Switch off audio mode.,Whisper off
Turn on typing responses.,Whisper off
I prefer text answers.,Whisper off
Disable your voice responses.,Whisper off
Can you answer using text?,Whisper off
Use text to reply to me.,Whisper off
Can you switch to text?,Whisper off
Disable vocal responses.,Whisper off
Turn off talking replies.,Whisper off
Can you respond in text?,Whisper off
Deactivate sound responses.,Whisper off
Use text to communicate.,Whisper off
I prefer written responses.,Whisper off
Stop speaking to me.,Whisper off
Type your replies instead.,Whisper off
Turn on text responses.,Whisper off
Can you answer by typing?,Whisper off
Switch off audio replies.,Whisper off
Use text for communication.,Whisper off
Can you reply without voice?,Whisper off
Turn off speaking replies.,Whisper off
Disable vocal mode.,Whisper off
I want text messages.,Whisper off
Respond by typing your answer.,Whisper off
Deactivate voice answers.,Whisper off
Type your response to me.,Whisper off
Turn off speaking mode.,Whisper off
Can you use text instead of voice?,Whisper off
Use typing for replies.,Whisper off
Switch to text answers.,Whisper off
I want you to write to me.,Whisper off
Turn off audio mode and type.,Whisper off
Disable audio for answers.,Whisper off
Can you text your response?,Whisper off
Use written responses.,Whisper off
Can you type instead of speak?,Whisper off
Switch to text replies.,Whisper off
"Answer with text, not voice.",Whisper off
Turn off your speaking replies.,Whisper off
Disable sound mode.,Whisper off
Can you give written responses?,Whisper off
Use text instead of voice replies.,Whisper off
I want to read your responses.,Whisper off
Deactivate sound replies.,Whisper off
Can you type your reply?,Whisper off
Turn off talking and type.,Whisper off
Disable verbal answers.,Whisper off
Use text for communication.,Whisper off
Can you use text to answer?,Whisper off
Talk to me using text.,Whisper off
Switch off speaking mode.,Whisper off
Turn on text replies.,Whisper off
I prefer written answers.,Whisper off
Disable voice replies.,Whisper off
Can you answer with text?,Whisper off
Use text for responses instead,Whisper off
Can you speak instead of type?,Whisper on
Turn on audio responses for me.,Whisper on
Enable talking mode.,Whisper on
Can you vocalize your answers?,Whisper on
Activate verbal responses.,Whisper on
Use your voice for replying.,Whisper on
I want answers by voice.,Whisper on
Start responding with voice.,Whisper on
Talk to me verbally.,Whisper on
"Turn off text replies, use voice.",Whisper on
Can you give voice responses?,Whisper on
Switch to vocal replies.,Whisper on
Use voice instead of typing.,Whisper on
Can you answer out loud?,Whisper on
Turn on speaking mode.,Whisper on
Enable audio replies.,Whisper on
I prefer voice communication.,Whisper on
Respond to me verbally.,Whisper on
Activate your voice mode.,Whisper on
Talk back to me using voice.,Whisper on
Turn on verbal replies.,Whisper on
Can you reply with sound?,Whisper on
Use your voice for answers.,Whisper on
Switch on voice mode.,Whisper on
I want you to speak back to me.,Whisper on
"Turn off typing, speak instead.",Whisper on
Enable your voice for responses.,Whisper on
Can you talk using audio?,Whisper on
Use voice to reply.,Whisper on
Can you speak your responses?,Whisper on
Switch to speaking responses.,Whisper on
Answer me with your voice.,Whisper on
Turn on your voice mode.,Whisper on
Enable verbal communication.,Whisper on
Can you respond with your voice?,Whisper on
Use voice responses for me.,Whisper on
I want to hear you talk.,Whisper on
Activate voice communication.,Whisper on
Can you talk to me?,Whisper on
"Turn off text, talk instead.",Whisper on
Enable voice mode.,Whisper on
Use sound to respond.,Whisper on
Can you use your voice to reply?,Whisper on
Talk to me with your voice.,Whisper on
Switch to audio replies.,Whisper on
Turn on speaking responses.,Whisper on
I prefer vocal replies.,Whisper on
Enable your speaking responses.,Whisper on
Can you answer using audio?,Whisper on
Use your voice to respond to me.,Whisper on
Can you talk out loud to me?,Whisper on
Enable sound mode.,Whisper on
Turn on audio replies.,Whisper on
Can you vocalize your replies?,Whisper on
Activate sound responses.,Whisper on
Use your voice for replying to me.,Whisper on
I want answers spoken.,Whisper on
Start voice responses.,Whisper on
Speak to me.,Whisper on
"Turn off text replies, talk.",Whisper on
Can you give vocal replies?,Whisper on
Switch to audio mode.,Whisper on
Use voice to communicate.,Whisper on
Can you answer verbally?,Whisper on
Turn on speaking replies.,Whisper on
Enable talking replies.,Whisper on
I prefer voice responses.,Whisper on
Respond to me by talking.,Whisper on
Activate your voice for communication.,Whisper on
Talk back to me with sound.,Whisper on
Turn on vocal mode.,Whisper on
Can you reply using sound?,Whisper on
Use your voice to answer.,Whisper on
Switch on sound replies.,Whisper on
I want you to talk to me.,Whisper on
"Turn off typing mode, talk.",Whisper on
Enable your voice for communication.,Whisper on
Can you talk to me by sound?,Whisper on
Use speaking to respond.,Whisper on
Can you speak instead of type?,Whisper on
Switch to voice communication.,Whisper on
Answer me verbally.,Whisper on
Turn on your talking mode.,Whisper on
Enable verbal replies.,Whisper on
Can you give sound responses?,Whisper on
Use vocal replies for me.,Whisper on
I want to hear you respond.,Whisper on
Activate vocal communication.,Whisper on
Can you talk to me using voice?,Whisper on
"Turn off text, speak to me.",Whisper on
Enable audio responses.,Whisper on
Use sound for communication.,Whisper on
Can you use voice to talk to me?,Whisper on
Talk to me with sound.,Whisper on
Switch on vocal responses.,Whisper on
Turn on talking replies.,Whisper on
I prefer sound communication.,Whisper on
Enable spoken responses.,Whisper on
Can you answer with sound?,Whisper on
Use your voice to reply to me.,Whisper on
Can you stop using your voice?,Whisper off
Disable sound responses.,Whisper off
Turn off verbal replies.,Whisper off
Can you reply with text only?,Whisper off
Deactivate talking mode.,Whisper off
Use text to answer instead.,Whisper off
I want text answers.,Whisper off
Stop audio responses.,Whisper off
Talk to me through text.,Whisper off
Turn on text replies instead of voice.,Whisper off
Can you respond by typing only?,Whisper off
Switch to text-only mode.,Whisper off
Use text replies instead of voice.,Whisper off
Can you answer without speaking?,Whisper off
Turn off sound replies.,Whisper off
Disable audio responses.,Whisper off
I prefer written communication.,Whisper off
Respond to me by typing.,Whisper off
Deactivate your voice mode.,Whisper off
Type back your replies.,Whisper off
Turn off verbal communication.,Whisper off
Can you reply with text instead of voice?,Whisper off
Use text for answering me.,Whisper off
Switch off sound mode.,Whisper off
I want you to type your replies.,Whisper off
"Turn off talking, use text.",Whisper off
Disable your voice responses.,Whisper off
Can you text me your replies?,Whisper off
Use typing instead of speaking.,Whisper off
Can you type your answers?,Whisper off
Switch to text communication.,Whisper off
"Answer me with text, not voice.",Whisper off
Turn off your voice mode.,Whisper off
Disable talking replies.,Whisper off
Can you give text responses?,Whisper off
Use text responses for me.,Whisper off
I want to read your answers.,Whisper off
Deactivate sound communication.,Whisper off
Can you type back your responses?,Whisper off
"Turn off speaking, type instead.",Whisper off
Disable verbal answers.,Whisper off
Use text to communicate with me.,Whisper off
Can you use text for replying?,Whisper off
Talk to me through text only.,Whisper off
Switch off audio mode.,Whisper off
Turn on text responses only.,Whisper off
I prefer text replies.,Whisper off
Disable voice communication.,Whisper off
Can you answer using text only?,Whisper off
Use text to respond to me.,Whisper off
Can you switch to text responses?,Whisper off
Disable verbal mode.,Whisper off
Turn off talking responses.,Whisper off
Can you reply in text?,Whisper off
Deactivate sound mode.,Whisper off
Use text to reply to me.,Whisper off
I prefer written answers.,Whisper off
Stop speaking responses.,Whisper off
Type your replies to me.,Whisper off
Turn on text mode.,Whisper off
Can you answer by typing instead?,Whisper off
Switch off voice replies.,Whisper off
Use text to communicate instead of voice.,Whisper off
Can you reply without using your voice?,Whisper off
Turn off audio responses.,Whisper off
Disable vocal replies.,Whisper off
I want text communication.,Whisper off
Respond by typing your replies.,Whisper off
Deactivate voice replies.,Whisper off
Type your responses to me.,Whisper off
Turn off verbal mode.,Whisper off
Can you use text for responses?,Whisper off
Use typing for answers.,Whisper off
Switch to text answers only.,Whisper off
I want you to type back to me.,Whisper off
"Turn off audio, use text.",Whisper off
Disable voice mode for replies.,Whisper off
Can you text your responses instead?,Whisper off
Use written responses instead of speaking.,Whisper off
Can you type instead of talk?,Whisper off
Switch to text replies only.,Whisper off
"Answer with text, no voice.",Whisper off
Turn off your talking mode.,Whisper off
Disable sound replies.,Whisper off
Can you give written answers?,Whisper off
Use text answers for me.,Whisper off
I want to read your responses.,Whisper off
Deactivate sound mode replies.,Whisper off
Can you type your reply instead?,Whisper off
"Turn off talking, use text replies.",Whisper off
Disable verbal communication.,Whisper off
Use text for responses.,Whisper off
Can you use text to reply to me?,Whisper off
Talk to me by typing.,Whisper off
Switch off talking mode.,Whisper off
Turn on text replies only.,Whisper off
I prefer text answers.,Whisper off
Disable voice responses.,Whisper off
Can you answer using text instead?,Whisper off
Use text to respond instead of voice.,Whisper off
